title,category,size,descriptionFirst,descriptionSecond
Виктория,Серия 7 зон,Высота матраца 22 см,Рекомендуется для людей весом до 130 кг Высота матраца 22 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,Двусторонний пружинный матрац с улучшенным ортопедическим и анатомическим эффектом на основе блока независимых пружин Pocket S pring с 7-ю дифференцированными зонами жесткости. Примененный в наполнении ячеистый пенополиуретан придает матрацу требуемую упругость и эластичность.
Шарлотта,Серия 7 зон,Высота матраца 22 см,Рекомендуется для людей весом до 130 кг Высота матраца 22 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,Двусторонний пружинный матрац с улучшенным ортопедическим и анатомическим эффектом на основе блока независимых пружин Pocket S pring с 7-ю дифференцированными зонами жесткости с применением с двух сторон слоев кокосовой койры. Примененный в наполнении ячеистый пенополиуретан придает матрацу требуемую упругость и эластичность.
Шарлотта HARD,Серия 7 зон,Высота матраца 22 см,Рекомендуется для людей весом до 140 кг Высота матраца 24 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,Двусторонний жесткий пружинный матрац с улучшенным ортопедическим и анатомическим эффектом на основе блока независимых пружин Pocket S pring с 7-ю дифференцированными зонами жесткости с применением с двух сторон слоев кокосовой койры высотой 2 см. Обладает высокой жесткостью и эластичностью.
Луиза,Серия 7 зон,Высота матраца 22 см,Рекомендуется для людей весом до 120 кг Высота матраца 20 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,"Двусторонний пружинный матрац с улучшенным ортопедическим и анатомическим эффектом на основе блока независимых пружин Pocket S pring с 7-ю дифференцированными зонами жесткости. Основу мягкого слоя составляет латекс — уникальный материал из вспененного сока каучукового дерева гевея — эластичный, антибактериальный, терморегулирующий, обеспечивающий свободное кровообращение во время сна."
Роберт,Серия 7 зон,Высота матраца 22 см,Рекомендуется для людей весом до 140 кг Высота матраца 20 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,Двусторонний жесткий пружинный матрац с улучшенным ортопедическим и анатомическим эффектом на основе блока независимых пружин Pocket S pring с 7-ю дифференцированными зонами жесткости с применением с двух сторон слоев кокосовой койры высотой 2 см. Обладает высокой жесткостью.
Артур,Серия 7 зон,Высота матраца 22 см,Рекомендуется для людей весом до 150 кг Высота матраца 24 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,"Двусторонний пружинный матрац с улучшенным ортопедическим и анатомическим эффектом на основе блока независимых пружин Pocket S pring с 7-ю дифференцированными зонами жесткости с применением с двух сторон слоев кокосовой койры высотой 2 см. Основу мягкого слоя составляет латекс — уникальный материал из вспененного сока каучукового дерева гевея — эластичный, антибактериальный, терморегулирующий, обеспечивающий свободное кровообращение во время сна. Обладает оптимальной жесткостью и эластичностью."
Персей,Серия 7 зон,Высота матраца 22 см,Рекомендуется для людей весом до 150 кг Высота матраца 22 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,"Пружинный матрац разносторонней жесткости с улучшенным ортопедическим и анатомическим эффектом на основе блока независимых пружин Pocket S pring с 7-ю дифференцированными зонами жесткости с применением с двух сторон слоев кокосовой койры высотой 2 см. Основу мягкого слоя составляет латекс — уникальный материал из вспененного сока каучукового дерева гевея — эластичный, антибактериальный, терморегулирующий, обеспечивающий свободное кровообращение во время сна. Обладает высокой жесткостью и эластичностью."
Персей Memory,Серия 7 зон,Высота матраца 22 см,Рекомендуется для людей весом до 150 кг Высота матраца 23 см Гарантия 20 лет на пружинный блок 3 года на ткани и наполнения,"Пружинный матрац разносторонней жесткости с улучшенным ортопедическим и анатомическим эффектом на основе блока независимых пружин Pocket S pring с 7-ю дифференцированными зонами жесткости с применением с двух сторон слоев кокосовой койры высотой 2 см. Основу мягкого слоя составляет инновационный материал Memory Foam, обладающий уникальной способностью точно принимать форму тела лежащего человека. Обладает высокой жесткостью и эластичностью."
Нео,Серия Нео,Высота матраца 15 см,Рекомендуется для людей весом до 110 кг Высота матраца 15 см Гарантия 3 года,Двусторонний беспружинный матрац на основе эластичной пены Aerolat. Поставляется в вакуумной упаковке.
Нeo Memory,Серия Нео,Высота матраца 15 см,Рекомендуется для людей весом до 120 кг Высота матраца 18 см Гарантия 3 года,"Беспружинный матрац разносторонней жесткости на основе эластичной пены Aerolat и инновационного материала Memory Foam, обладающего уникальными свойствами точно принимать форму тела лежащего человека. Обладает высокой жесткостью и эластичностью. Поставляется в вакуумной упаковке."
